Iterations  Learning Rate  R2 Score    MSE         
1000        0.001          0.024016    1.296583    
1000        0.01           0.601104    0.539189    
1000        0.01           0.587635    0.557960    
10000       0.01           0.611648    0.520249    
10000       0.02           0.582837    0.544874    
10000       0.01           0.615475    0.501702    
1000        0.02           0.604879    0.502217    
10000       0.02           0.594145    0.537033    
1000        0.02           0.597719    0.521676    
10000       0.03           0.587686    0.544173    
10000       0.03           0.610098    0.530530    
1000        0.025          0.619733    0.517483    
1000        0.025          0.593458    0.528833    
1000        0.026          0.602487    0.524985    
1000        0.026          0.616798    0.512719    
1000        0.024          0.607627    0.522977    
1000        0.024          0.602069    0.534606    
1000        0.027          0.591293    0.526869    
1000        0.027          0.606108    0.508242    
1000        0.02           0.579601    0.552543    
1000        0.02           0.594326    0.538647    
1000        0.02           0.597715    0.529744    
1000        0.02           0.600711    0.535841    
1000        0.02           0.603388    0.515930    
1000        0.02           0.579532    0.564521    
1000        0.026          0.621594    0.488969    
1000        0.026          0.586814    0.546039    
